molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x15549fc30>,CC,0.3727855551576051,2.7475679189493913,1.0262,0.0,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f02e0>,CCl,0.3573626606013345,3.0453986881801605,0.855,0.0,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0350>,CCCC1(O)c2cc3n(c(=O)c2COC1O)Cc1cc2ccccc2nc1-3,0.5699499303499728,3.757528418422889,2.2615,84.58,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f03c0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=Cc3ncccc3C=CC=C21,0.7755122229320828,3.9648769617358672,2.405100000000001,81.42,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0430>,CCC,0.3854706587740357,1.7549570386349824,1.4163,0.0,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f04a0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2-1)=CC=CC=CC=3CO,0.5822675856521334,4.176046062933568,-0.024100000000000232,101.65,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0510>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3ccc-3c2-1,0.46968971753408045,3.4803708140212732,2.0115999999999996,81.42,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0580>,CCC=CCCCC,0.3868985709366227,2.212554484161073,3.142800000000002,0.0,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f05f0>,CC1=c2c(=O)ccccc3nc4cccc-3c(c2=CC=4)=C1,0.6855020190129716,5.166353309177071,0.2102999999999995,29.96,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0660>,CCC,0.3854706587740357,1.7549570386349824,1.4163,0.0,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f06d0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c(CCO)nc3cccc-3nc2-1,0.4983749206734982,3.574995759795181,0.9609999999999999,114.54,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0740>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cccc3ncc-3nc2-1,0.5225133020488782,3.3689654086158685,1.4262000000000001,94.31,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f07b0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0820>,CCCC(=O)C=O,0.3831964985572301,2.6909620480625396,0.5545,34.14,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0890>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccc-3nccc2-1,0.5324483637337561,3.284893059343518,2.0312,81.42,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0900>,CCC1(O)C(=O)[Si-]Cc2c1cc1n(c2=O)Cc2cc3cccnc3nc2-1,0.5144407388127066,4.055579337929797,1.1622000000000001,85.08,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0970>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f09e0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2-1)C=CC3=O,0.6609237342989834,3.7410655424694266,1.1359000000000001,98.49,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0a50>,CCC(=O)CC,0.4957688321065222,2.361256702132316,1.3755,17.07,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0ac0>,CCC,0.3854706587740357,1.7549570386349824,1.4163,0.0,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0b30>,CCC=O,0.40325990291792796,2.6262922772372104,0.5952999999999999,17.07,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0ba0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2[PH+]1)=CC(O)=CC=CC=3,0.40369462484668406,5.096288439725597,-0.5385999999999984,101.65,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0c10>,C,0.3597849378839701,7.3284153846153846,0.6361,0.0,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0c80>,C=CC,0.3570688167166915,3.006787807865753,1.1923000000000001,0.0,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0cf0>,CNC,0.3986709398154768,2.2160570386349825,-0.1644000000000001,12.03,0.025,0.846,0.955
<rdkit.Chem.rdchem.Mol object at 0x1554f0d60>,CC,0.3727855551576051,2.7475679189493913,1.0262,0.0,0.025,0.846,0.955
