molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x16809fc30>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=C1N=C(CO)C=C1C(OO)=CC12CN,0.2955556344978346,4.985380718187404,-0.06709999999999966,156.6,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f02e0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)CC2=C1C=NC1CCC(O)=CC1=C2,0.7247595419026958,4.652882543894757,1.8850000000000002,101.12,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0350>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ncccc3nc2-1,0.523157231790749,3.304118631069091,1.4746000000000001,94.31,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f03c0>,CCC1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3[nH]n1c2=O,0.5123402555618813,3.5404219574724163,1.9833999999999998,96.68999999999998,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0430>,CCCC=O,0.4443450475833798,2.734983411874161,0.9854,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f04a0>,CCCCCCCC(=O)OC,0.4383150695699537,1.5482203362972307,2.5199000000000007,26.3,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0510>,C=C1C2=C(C=C3c4nc5ccnc-5ccc4CN13)C(O)(CC)C(=O)OC2,0.797758730059725,4.033146697597157,2.2597000000000005,75.55000000000001,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0580>,CCCCB=O,0.371153080538453,3.8046651636707765,1.2545,17.07,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f05f0>,CC,0.3727855551576051,2.7475679189493913,1.0262,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0660>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f06d0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2-1)=CC=CC=CC=3,0.6316041184310377,4.052369077120483,0.6134000000000002,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0740>,CCC([O-])c1ccc(C2=CC=CC3=NC4=C3N=CC=CC(F)=CC(=C2)C=C4)nc1,0.7709017006936065,6.153554256176848,4.489000000000004,60.67,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f07b0>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2-1)=CC=CC=CC=3,0.6316041184310377,4.052369077120483,0.6134000000000002,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0820>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0890>,C=C(O)C=CCCC,0.4387923876561411,3.1187127259193153,2.4143999999999997,20.23,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0900>,CC,0.3727855551576051,2.7475679189493913,1.0262,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0970>,C,0.3597849378839701,7.3284153846153846,0.6361,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f09e0>,C,0.3597849378839701,7.3284153846153846,0.6361,0.0,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0a50>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.5327639891125654,3.1755009595514183,2.0796,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0ac0>,CCC1(O)C(=O)OCC2=C1C=C1N=S1C2=O,0.6620771726151481,5.157351331533599,0.178,75.96000000000001,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0b30>,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(nc2-1)=CC=CC=CC=3,0.6316041184310377,4.052369077120483,0.6134000000000002,81.42,0.019,0.601,0.982
<rdkit.Chem.rdchem.Mol object at 0x1680f0ba0>,CCBr,0.4121785720964007,2.5718339617119064,1.4012,0.0,0.019,0.601,0.982
