smiles,qed,scaffold_smiles,source
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)C1=NOCCO1,0.164,c1ccc(CSCC(Nc2nc(-c3ccccc3)cs2)C2=NOCCO2)cc1,train
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)C1=NOCCO1,0.164,c1ccc(CSCC(Nc2nc(-c3ccccc3)cs2)C2=NOCCO2)cc1,train
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)C1=NOCCO1,0.164,c1ccc(CSCC(Nc2nc(-c3ccccc3)cs2)C2=NOCCO2)cc1,train
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)c1nc(C)no1,0.116,c1ccc(CSCC(Nc2nc(-c3ccccc3)cs2)c2ncno2)cc1,train
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)c1nc(C)no1,0.116,c1ccc(CSCC(Nc2nc(-c3ccccc3)cs2)c2ncno2)cc1,train
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)c1nc(C)no1,0.116,c1ccc(CSCC(Nc2nc(-c3ccccc3)cs2)c2ncno2)cc1,train
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)C(=O)OC,0.173,c1ccc(CSCCNc2nc(-c3ccccc3)cs2)cc1,train
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)C(=O)OC,0.173,c1ccc(CSCCNc2nc(-c3ccccc3)cs2)cc1,train
COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)C(=O)OC,0.173,c1ccc(CSCCNc2nc(-c3ccccc3)cs2)cc1,train
CCc1c2c(nc3cnc(C#CCN(C)C)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.37,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.533,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,train
CCc1c2c(nc3cnc(C(=O)NCCN(C)C)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.387,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cnc(CN)cc1c2C,0.492,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,0.393,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cnc(C#CCN)cc1c2C,0.352,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1c[n+]([O-])c(CN)cc1c2C,0.28,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc[nH+]cc2nc1-3,train
CCc1c2c(nc3cnc(CCCN(C)C)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.44,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCc1c2c(nc3cnc(C#N)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.509,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCc1c2c(nc3cnc(C#CCN)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.364,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCc1c2c(nc3cnccc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.537,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc[n+]([O-])cc3nc2-1,0.302,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc[nH+]cc2nc1-3,train
CCc1c2c(nc3cnc(C(=N)NO)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.163,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1c[n+]([O-])c(CNC(=O)OC(C)(C)C)cc1c2C,0.243,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc[nH+]cc2nc1-3,train
CCc1c2c(nc3cnc(Br)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.368,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCc1c2c(nc3cnc(C(=N)N)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.258,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cnc(C#N)cc1c2C,0.493,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cnc(Br)cc1c2C,0.36,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cnc(C#CCN3CCOCC3)cc1c2C,0.335,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(C#CCN4CCOCC4)ncc2nc1-3,train
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccncc3nc2-1,0.523,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCOC(=O)c1cc2c(CC)c3c(nc2cn1)-c1cc2c(c(=O)n1C3)COC(=O)C2(O)CC,0.471,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
CCc1c2c(nc3cnc(CN)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.495,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccncc2nc1-3,train
O=C1NC(=O)c2c1c1c3ccc(O)cc3[nH]c1c1c2c2ccc(O)cc2n1C1OC(CO)C(O)C(O)C1O,0.155,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1c2c2ccccc2n1C1CCCCO1,train
O=C1NC(=O)c2c1c1c([nH]c3cccc(O)c31)c1c2c2c(O)cccc2n1C1OC(CO)C(O)C(O)C1O,0.155,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1c2c2ccccc2n1C1CCCCO1,train
O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1c2c2cccc(O)c2n1C1OC(CO)C(O)C(O)C1O,0.155,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1c2c2ccccc2n1C1CCCCO1,train
