Low_rank,SMILES,status_note,Initial Taninomoto Score Top 16 Rank,Initial Marketed Statin Tanimoto Top 16 Rank,source,pubchem_novel,warhead,lipinski,pains_clean,qed,mw,logp,T_chembl,T_marketed,nearest_marketed,combined,similarity,literature,network,evidence_level,confidence_flag
1,Cc1c(-c2ccc(F)cc2)n(C=CC(O)CC(O)CC(=O)O)c(C)nc2ccc1cc2F,strong_final_candidate,,,v2,TRUE,TRUE,TRUE,TRUE,0.509,442.5,4.218,0.597,0.4231,pitavastatin,0.3178,0.7049,0.15,0.4918,level_0,REVIEW_RULE_MORE_CONSERVATIVE
2,CC(C)c1nc(-c2ccccc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,strong_final_candidate,1,15,v2_T08,TRUE,TRUE,TRUE,TRUE,0.456,438.5,4.537,0.9434,0.4865,rosuvastatin,0.3334,0.9434,0.6415,0.4918,level_0,AGREE_HIGH_CONF
3,CC(CC(=O)O)CC(O)C=Cn1c(C(C)C)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1,review_missing_warhead,2,,v2,TRUE,FALSE,TRUE,TRUE,0.419,454.5,5.951,0.8679,0.4324,rosuvastatin,0.3674,0.8679,0.6415,0.4918,level_0,REVIEW_ML_ESCALATED
4,CC(C)c1nc(-c2ccc(F)cc2)c(-c2cccc(F)c2)n1C=CC(O)CC(O)CC(=O)O,strong_final_candidate,3,,v2_T08,TRUE,TRUE,TRUE,TRUE,0.435,456.5,4.676,0.8571,0.4615,rosuvastatin,0.3722,0.8571,0.6415,0.4918,level_0,AGREE_HIGH_CONF
5,CC(C=Cn1c(C(C)C)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1)CC(O)CC(=O)O,review_missing_warhead,4,,v2_T08,TRUE,FALSE,TRUE,TRUE,0.419,454.5,5.951,0.8519,0.4459,rosuvastatin,0.3746,0.8519,0.6415,0.4918,level_0,REVIEW_ML_ESCALATED
6,CC(C)c1nc(-c2ccc(Cl)cc2)c(-c2cccc(F)c2)n1C=CC(O)CC(O)CC(=O)O,strong_final_candidate,6,,v2+v2_T08,TRUE,TRUE,TRUE,TRUE,0.398,472.9,5.19,0.8462,0.4096,rosuvastatin,0.3771,0.8462,0.6415,0.4918,level_0,REVIEW_ML_ESCALATED
7,CC(C)c1nc(-c2cccc(F)c2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,strong_final_candidate,7,,v2+v2_T08,TRUE,TRUE,TRUE,TRUE,0.435,456.5,4.676,0.8448,0.443,rosuvastatin,0.3778,0.8448,0.6415,0.4918,level_0,AGREE_HIGH_CONF
8,CC(C)c1c(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1C=CC(O)CC(=O)O,review_missing_warhead,8,,v2_T08,TRUE,FALSE,TRUE,TRUE,0.577,412.4,4.925,0.8431,0.4167,rosuvastatin,0.3785,0.8431,0.6415,0.4918,level_0,REVIEW_ML_ESCALATED
9,CC(C)c1c(-c2ccc(F)cc2)nc(-c2cccc(F)c2)n1C=CC(O)CC(O)CC(=O)O,strong_final_candidate,9,,v2_T08,TRUE,TRUE,TRUE,TRUE,0.435,456.5,4.676,0.8421,0.4675,rosuvastatin,0.379,0.8421,0.6415,0.4918,level_0,AGREE_HIGH_CONF
10,Cc1ccc(-c2nc(-c3ccc(F)cc3)n(C=CC(O)CC(O)CC(=O)O)c2C(C)O)cc1,strong_final_candidate,10,,v2_T08,TRUE,TRUE,TRUE,TRUE,0.391,454.5,3.775,0.8364,0.473,rosuvastatin,0.3815,0.8364,0.6415,0.4918,level_0,AGREE_HIGH_CONF
