doid_code,doid_name,diseaseId,geneId,geneSymbol,geneName,diseaseName,score,NumberOfPubmeds,associationType,source
DOID:2531,hematologic cancer,umls:C0001815,3717,JAK2,Janus kinase 2,Primary Myelofibrosis,0.371838045810995,242,"AlteredExpression, Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,2146,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,Primary Myelofibrosis,0.210283504570094,2,Biomarker,"BeFree, CTD_human"
DOID:2531,hematologic cancer,umls:C0001815,811,CALR,calreticulin,Primary Myelofibrosis,0.204536073121499,16,"Biomarker, GeneticVariation","BeFree, CLINVAR"
DOID:2531,hematologic cancer,umls:C0001815,10019,SH2B3,SH2B adaptor protein 3,Primary Myelofibrosis,0.2,0,GeneticVariation,CLINVAR
DOID:2531,hematologic cancer,umls:C0001815,4352,MPL,"MPL proto-oncogene, thrombopoietin receptor",Primary Myelofibrosis,0.0507803386659726,51,"AlteredExpression, Biomarker, GeneticVariation","BeFree, GAD, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,7852,CXCR4,chemokine (C-X-C motif) receptor 4,Primary Myelofibrosis,0.0089852540446563,6,"AlteredExpression, Biomarker, GeneticVariation, PostTranslationalModification","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,947,CD34,CD34 molecule,Primary Myelofibrosis,0.0081926684666027,20,"Biomarker, GeneticVariation, PostTranslationalModification","BeFree, LHGDN"
DOID:2531,hematologic cancer,umls:C0001815,3716,JAK1,Janus kinase 1,Primary Myelofibrosis,0.007185676169538,11,"Biomarker, GeneticVariation","BeFree, GAD"
DOID:2531,hematologic cancer,umls:C0001815,54790,TET2,tet methylcytosine dioxygenase 2,Primary Myelofibrosis,0.0069021715994443,9,"Biomarker, GeneticVariation","BeFree, GAD"
DOID:2531,hematologic cancer,umls:C0001815,25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",Primary Myelofibrosis,0.005953595971967,21,"Biomarker, GeneticVariation",BeFree
DOID:2531,hematologic cancer,umls:C0001815,7040,TGFB1,"transforming growth factor, beta 1",Primary Myelofibrosis,0.0042236044852913,7,"AlteredExpression, Biomarker","BeFree, LHGDN"
