preferredName_A,preferredName_B,score,Experimental System,Experimental System Type
TRIM2,HMGCR,700.0,Proximity Label-MS,physical
PCDHGC4,HMGCR,700.0,Affinity Capture-MS,physical
KIF20A,HMGCR,700.0,Affinity Capture-MS,physical
TCEB2,HMGCR,700.0,Affinity Capture-MS,physical
CLUAP1,HMGCR,700.0,Affinity Capture-MS,physical
UNC93B1,HMGCR,700.0,Affinity Capture-MS,physical
SLC15A3,HMGCR,700.0,Affinity Capture-MS,physical
DNA2,HMGCR,700.0,Affinity Capture-MS,physical
KCNS3,HMGCR,700.0,Affinity Capture-MS,physical
CD209,HMGCR,700.0,Affinity Capture-MS,physical
PTGIR,HMGCR,700.0,Affinity Capture-MS,physical
GPR114,HMGCR,700.0,Affinity Capture-MS,physical
GABRA6,HMGCR,700.0,Affinity Capture-MS,physical
HMGCR,UBIAD1,700.0,Affinity Capture-Western,physical
UBIAD1,HMGCR,700.0,Affinity Capture-Western,physical
TCTN3,HMGCR,700.0,Proximity Label-MS,physical
RPN1,HMGCR,700.0,Proximity Label-MS,physical
AMFR,HMGCR,700.0,Affinity Capture-MS,physical
MARCH3,HMGCR,700.0,Affinity Capture-MS,physical
RPN2,HMGCR,700.0,Proximity Label-MS,physical
OCIAD1,HMGCR,700.0,Affinity Capture-MS,physical
PTCHD3,HMGCR,700.0,Affinity Capture-MS,physical
SORCS2,HMGCR,700.0,Affinity Capture-MS,physical
SEC62,HMGCR,700.0,Proximity Label-MS,physical
SEC61B,HMGCR,700.0,Proximity Label-MS,physical
MARCH4,HMGCR,700.0,Affinity Capture-MS,physical
LAMP1,HMGCR,700.0,Proximity Label-MS,physical
GJD3,HMGCR,700.0,Proximity Label-MS,physical
CKAP4,HMGCR,700.0,Proximity Label-MS,physical
ATP2A1,HMGCR,700.0,Proximity Label-MS,physical
ZNRF4,HMGCR,700.0,Affinity Capture-MS,physical
RNF148,HMGCR,700.0,Affinity Capture-MS,physical
UNK,HMGCR,700.0,Affinity Capture-RNA,physical
CHRNA9,HMGCR,700.0,Affinity Capture-MS,physical
HEPACAM2,HMGCR,700.0,Affinity Capture-MS,physical
HMGCR,AMFR,700.0,Affinity Capture-Western,physical
HMGCR,INSIG1,700.0,Affinity Capture-Western,physical
HMGCR,AUP1,700.0,Affinity Capture-Western,physical
DCUN1D1,HMGCR,700.0,Affinity Capture-MS,physical
ERLIN2,HMGCR,700.0,Affinity Capture-Western,physical
RNF139,HMGCR,700.0,Affinity Capture-Western,physical
HMGCR,VCP,700.0,Affinity Capture-Western,physical
HMGCR,ERLIN2,700.0,Affinity Capture-Western,physical
INSIG2,HMGCR,700.0,Affinity Capture-Western,physical
HMGCR,UBC,700.0,Affinity Capture-Western,physical
INSIG1,HMGCR,700.0,Affinity Capture-Western,physical
STARD13,HMGCR,700.0,Two-hybrid,physical
FAF2,HMGCR,700.0,Affinity Capture-MS,physical
KCNK16,HMGCR,700.0,Affinity Capture-MS,physical
LPAR1,HMGCR,700.0,Affinity Capture-MS,physical
FAM189A2,HMGCR,700.0,Affinity Capture-MS,physical
BTN2A1,HMGCR,700.0,Affinity Capture-MS,physical
B3GAT3,HMGCR,700.0,Affinity Capture-MS,physical
TMEM30A,HMGCR,700.0,Affinity Capture-MS,physical
ATP1B3,HMGCR,700.0,Affinity Capture-MS,physical
SRPRB,HMGCR,700.0,Affinity Capture-MS,physical
SPINT2,HMGCR,700.0,Affinity Capture-MS,physical
RIC3,HMGCR,700.0,Affinity Capture-MS,physical
SYVN1,HMGCR,700.0,Affinity Capture-MS,physical
ADCY9,HMGCR,700.0,Affinity Capture-MS,physical
AVPR2,HMGCR,700.0,Affinity Capture-MS,physical
CANX,HMGCR,700.0,Affinity Capture-MS,physical
PSMA4,HMGCR,700.0,Proximity Label-MS,physical
C9orf72,HMGCR,700.0,Affinity Capture-MS,physical
HUWE1,HMGCR,700.0,Affinity Capture-MS,physical
HMGCR,DNM2,700.0,Cross-Linking-MS (XL-MS),physical
SIAH1,HMGCR,700.0,Affinity Capture-Western,physical
TGOLN2,HMGCR,700.0,Proximity Label-MS,physical
TRIM67,HMGCR,700.0,Affinity Capture-MS,physical
TMUB1,HMGCR,700.0,Protein-peptide,physical
TMPRSS11B,HMGCR,700.0,Proximity Label-MS,physical
TMEM180,HMGCR,700.0,Affinity Capture-MS,physical
P2RY8,HMGCR,700.0,Affinity Capture-MS,physical
CCDC107,HMGCR,700.0,Affinity Capture-MS,physical
VIPR1,HMGCR,700.0,Affinity Capture-MS,physical
EVA1B,HMGCR,700.0,Affinity Capture-MS,physical
CYP2C18,HMGCR,700.0,Affinity Capture-MS,physical
CYP19A1,HMGCR,700.0,Affinity Capture-MS,physical
INSRR,HMGCR,700.0,Affinity Capture-MS,physical
VIPR2,HMGCR,700.0,Affinity Capture-MS,physical
PIGH,HMGCR,700.0,Affinity Capture-MS,physical
PSMD3,HMGCR,700.0,Proximity Label-MS,physical
MFSD5,HMGCR,700.0,Affinity Capture-MS,physical
PCDHB3,HMGCR,700.0,Affinity Capture-MS,physical
SLC35F3,HMGCR,700.0,Affinity Capture-MS,physical
TMEM173,HMGCR,700.0,Proximity Label-MS,physical
TMEM241,HMGCR,700.0,Affinity Capture-MS,physical
SLC7A8,HMGCR,700.0,Affinity Capture-MS,physical
SLC6A12,HMGCR,700.0,Affinity Capture-MS,physical
SLC4A9,HMGCR,700.0,Affinity Capture-MS,physical
SLC4A7,HMGCR,700.0,Affinity Capture-MS,physical
SLC35G1,HMGCR,700.0,Affinity Capture-MS,physical
SLC35F2,HMGCR,700.0,Affinity Capture-MS,physical
SLC35F1,HMGCR,700.0,Affinity Capture-MS,physical
SLC35A4,HMGCR,700.0,Affinity Capture-MS,physical
SLC30A7,HMGCR,700.0,Affinity Capture-MS,physical
SLC2A7,HMGCR,700.0,Affinity Capture-MS,physical
SLC22A9,HMGCR,700.0,Affinity Capture-MS,physical
SLC22A4,HMGCR,700.0,Affinity Capture-MS,physical
SLC1A6,HMGCR,700.0,Affinity Capture-MS,physical
SLC16A8,HMGCR,700.0,Affinity Capture-MS,physical
SLC16A3,HMGCR,700.0,Affinity Capture-MS,physical
P2RY2,HMGCR,700.0,Affinity Capture-MS,physical
SLC19A2,HMGCR,700.0,Affinity Capture-MS,physical
LPAR2,HMGCR,700.0,Affinity Capture-MS,physical
C9orf91,HMGCR,700.0,Affinity Capture-MS,physical
CLGN,HMGCR,700.0,Affinity Capture-MS,physical
C3orf18,HMGCR,700.0,Affinity Capture-MS,physical
SCAP,HMGCR,700.0,Affinity Capture-MS,physical
ACVR1C,HMGCR,700.0,Affinity Capture-MS,physical
CHRND,HMGCR,700.0,Affinity Capture-MS,physical
SLC24A3,HMGCR,700.0,Affinity Capture-MS,physical
OR13J1,HMGCR,700.0,Affinity Capture-MS,physical
CCR6,HMGCR,700.0,Affinity Capture-MS,physical
C3orf52,HMGCR,700.0,Affinity Capture-MS,physical
IL17RA,HMGCR,700.0,Affinity Capture-MS,physical
BTNL3,HMGCR,700.0,Affinity Capture-MS,physical
DGCR2,HMGCR,700.0,Affinity Capture-MS,physical
GPR17,HMGCR,700.0,Affinity Capture-MS,physical
HMGCR,SLC39A3,700.0,Positive Genetic,genetic
LDLR,HMGCR,700.0,Negative Genetic,genetic
ARFGAP2,HMGCR,700.0,Negative Genetic,genetic
KRAS,HMGCR,700.0,Synthetic Lethality,genetic
HMGCR,SLC39A7,700.0,Positive Genetic,genetic
DCAF7,HMGCR,700.0,Positive Genetic,genetic
EP300,HMGCR,700.0,Negative Genetic,genetic
HMGCR,RICTOR,700.0,Positive Genetic,genetic
HMGCR,NPRL3,700.0,Negative Genetic,genetic
HMGCR,TRAPPC13,700.0,Negative Genetic,genetic
HMGCR,TRAPPC12,700.0,Negative Genetic,genetic
ARL5B,HMGCR,700.0,Positive Genetic,genetic
HMGCR,PLA2G4C,700.0,Positive Genetic,genetic
HMGCR,PRKAA1,700.0,Negative Genetic,genetic
HMGCR,TST,700.0,Negative Genetic,genetic
HMGCR,PFKFB1,700.0,Negative Genetic,genetic
AKT2,HMGCR,700.0,Negative Genetic,genetic
ALAD,HMGCR,700.0,Negative Genetic,genetic
HMGCR,TCF3,700.0,Negative Genetic,genetic
CHRAC1,HMGCR,700.0,Negative Genetic,genetic
ARIH2,HMGCR,700.0,Negative Genetic,genetic
HMGCR,MOGS,700.0,Negative Genetic,genetic
CUL4A,HMGCR,700.0,Negative Genetic,genetic
HMGCR,SEC23B,700.0,Negative Genetic,genetic
HMGCR,RAB1A,700.0,Negative Genetic,genetic
HMGCR,KHSRP,700.0,Negative Genetic,genetic
HMGCR,RAB1B,700.0,Negative Genetic,genetic
HMGCR,IGF2BP1,700.0,Negative Genetic,genetic
HMGCR,IGF1R,700.0,Positive Genetic,genetic
HMGCR,RABGEF1,700.0,Negative Genetic,genetic
HMGCR,VPS51,700.0,Positive Genetic,genetic
CTBP1,HMGCR,700.0,Negative Genetic,genetic
HMGCR,TBL1XR1,700.0,Positive Genetic,genetic
HMGCR,TRAPPC5,700.0,Positive Genetic,genetic
PPARD,MTOR,0.418,functional_association,functional
PPARD,HMGCS2,0.418,functional_association,functional
PPARD,GCG,0.459,functional_association,functional
PPARD,ACSL1,0.416,functional_association,functional
PPARD,BACE1,0.415,functional_association,functional
PPARD,CASP3,0.407,functional_association,functional
PPARD,AGT,0.42,functional_association,functional
PPARD,ACACA,0.445,functional_association,functional
PPARD,ABCG1,0.42,functional_association,functional
PPARD,ACSL4,0.421,functional_association,functional
PPARD,GSK3B,0.439,functional_association,functional
PPARD,SREBF2,0.451,functional_association,functional
PPARD,RHOA,0.479,functional_association,functional
PPARD,DGAT1,0.474,functional_association,functional
PPARD,ACSL3,0.4,functional_association,functional
PPARD,ACACB,0.403,functional_association,functional
COQ2,FDPS,0.716,functional_association,functional
COQ2,PDSS1,0.998,functional_association,functional
COQ2,KMO,0.768,functional_association,functional
COQ2,NDUFAF6,0.557,functional_association,functional
COQ2,FBXO40,0.605,functional_association,functional
PPARD,ACTB,0.483,functional_association,functional
COQ2,RUSC1,0.608,functional_association,functional
COQ2,FDFT1,0.637,functional_association,functional
COQ2,LSS,0.756,functional_association,functional
COQ2,HAO2,0.833,functional_association,functional
COQ2,PDSS2,0.997,functional_association,functional
COQ2,HAO1,0.833,functional_association,functional
COQ2,NUS1,0.879,functional_association,functional
COQ2,DHDDS,0.881,functional_association,functional
COQ2,IDI1,0.897,functional_association,functional
COQ2,UBIAD1,0.936,functional_association,functional
COQ2,COQ6,0.98,functional_association,functional
PPARD,GAPDH,0.482,functional_association,functional
PPARD,CD36,0.787,functional_association,functional
PPARD,MLXIPL,0.488,functional_association,functional
PPARD,NCOA1,0.882,functional_association,functional
PPARD,ACOX3,0.715,functional_association,functional
PPARD,INS,0.715,functional_association,functional
PPARD,NCOA2,0.724,functional_association,functional
PPARD,SLC2A4,0.739,functional_association,functional
