action_type	activity_comment	activity_id	activity_properties	assay_chembl_id	assay_description	assay_type	assay_variant_accession	assay_variant_mutation	bao_endpoint	bao_format	bao_label	canonical_smiles	data_validity_comment	data_validity_description	document_chembl_id	document_journal	document_year	ligand_efficiency	molecule_chembl_id	molecule_pref_name	parent_molecule_chembl_id	pchembl_value	potential_duplicate	qudt_units	record_id	relation	src_id	standard_flag	standard_relation	standard_text_value	standard_type	standard_units	standard_upper_value	standard_value	target_chembl_id	target_organism	target_pref_name	target_tax_id	text_value	toid	type	units	uo_units	upper_value	value
		47845	[]	CHEMBL692735	The inhibitory activity against purified recombinant human HMG-CoA reductase was evaluated	B			BAO_0000192	BAO_0000357	single protein format	O=C(O)C[C@H](O)CP(=O)(O)CCc1c(Cl)cc(Cl)cc1OCc1ccccc1			CHEMBL1125979	Bioorg Med Chem Lett	1991.0	{'bei': '17.43', 'le': '0.38', 'lle': '3.58', 'sei': '7.49'}	CHEMBL39102		CHEMBL39102	7.80	0	http://www.openphacts.org/units/Nanomolar	61374	=	1	1	=		Ki	nM		16.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Ki	nM	UO_0000065		16.0
		63225	[]	CHEMBL692735	The inhibitory activity against purified recombinant human HMG-CoA reductase was evaluated	B			BAO_0000192	BAO_0000357	single protein format	O=C(O)C[C@H](O)C[C@H](O)CCc1c(Cl)cc(Cl)cc1OCc1ccccc1			CHEMBL1125979	Bioorg Med Chem Lett	1991.0	{'bei': '20.62', 'le': '0.43', 'lle': '4.43', 'sei': '9.80'}	CHEMBL39312		CHEMBL39312	8.52	0	http://www.openphacts.org/units/Nanomolar	61371	=	1	1	=		Ki	nM		3.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Ki	nM	UO_0000065		3.0
		106000	[]	CHEMBL692723	Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line	F			BAO_0000190	BAO_0000219	cell-based format	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]			CHEMBL1126120	J Med Chem	1992.0		CHEMBL175236		CHEMBL1201373	7.54	0	http://www.openphacts.org/units/Nanomolar	215944	=	1	1	=		IC50	nM		29.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			IC50	nM	UO_0000065		29.0
		108166	[]	CHEMBL692723	Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line	F			BAO_0000190	BAO_0000219	cell-based format	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21			CHEMBL1126120	J Med Chem	1992.0		CHEMBL503	LOVASTATIN	CHEMBL503	7.43	0	http://www.openphacts.org/units/Nanomolar	215945	=	1	1	=		IC50	nM		37.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			IC50	nM	UO_0000065		37.0
		116159	[]	CHEMBL692723	Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line	F			BAO_0000190	BAO_0000219	cell-based format	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C[C@@H]2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H]12			CHEMBL1126120	J Med Chem	1992.0		CHEMBL115307		CHEMBL115307	5.85	0	http://www.openphacts.org/units/Nanomolar	215943	=	1	1	=		IC50	nM		1400.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			IC50	nM	UO_0000065		1400.0
		117451	[]	CHEMBL692723	Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line	F			BAO_0000190	BAO_0000219	cell-based format	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]			CHEMBL1126120	J Med Chem	1992.0		CHEMBL487720		CHEMBL1201391	7.92	0	http://www.openphacts.org/units/Nanomolar	215942	=	1	1	=		IC50	nM		12.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			IC50	nM	UO_0000065		12.0
		117454	[]	CHEMBL692723	Concentration required to inhibit HMG-CoA reductase by 50% was determined in Hep G2 cell line	F			BAO_0000190	BAO_0000219	cell-based format	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C[C@@H]2C=C[C@H](C)[C@H](CC[C@H](O)C[C@H](O)CC(=O)[O-])[C@@H]12.[Na+]			CHEMBL1126120	J Med Chem	1992.0		CHEMBL323880		CHEMBL1206908	5.65	0	http://www.openphacts.org/units/Nanomolar	215946	=	1	1	=		IC50	nM		2220.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			IC50	nM	UO_0000065		2220.0
		146207	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1nc2c3c(nn2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])CCCC3.[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL283050		CHEMBL1206538		0		32988	=	1	0	=		Relative potency			1.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				1.0
		147406	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1nc2c(cnn2-c2ccccc2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL23126		CHEMBL1204776		0		32986	=	1	0	=		Relative potency			10.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				10.0
		147408	[]	CHEMBL690065	In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound	B			BAO_0000179	BAO_0000219	cell-based format	CC(C)c1nc2c(c(-c3ccc(Cl)cc3)nn2C)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]			CHEMBL1134061	Bioorg Med Chem Lett	2001.0		CHEMBL23208		CHEMBL1204777		0		33002	=	1	0	=		Relative potency			26.0	CHEMBL402	Homo sapiens	3-hydroxy-3-methylglutaryl-coenzyme A reductase	9606			Relative potency				26.0
