action_type	activity_comment	activity_id	activity_properties	assay_chembl_id	assay_description	assay_type	assay_variant_accession	assay_variant_mutation	bao_endpoint	bao_format	bao_label	canonical_smiles	data_validity_comment	data_validity_description	document_chembl_id	document_journal	document_year	ligand_efficiency	molecule_chembl_id	molecule_pref_name	parent_molecule_chembl_id	pchembl_value	potential_duplicate	qudt_units	record_id	relation	src_id	standard_flag	standard_relation	standard_text_value	standard_type	standard_units	standard_upper_value	standard_value	target_chembl_id	target_organism	target_pref_name	target_tax_id	text_value	toid	type	units	uo_units	upper_value	value
		33047	[]	CHEMBL669796	In vitro inhibition of human DNA topoisomerase I activity.	B			BAO_0000201	BAO_0000357	single protein format	O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21			CHEMBL1147454	Bioorg Med Chem Lett	2004		CHEMBL115665		CHEMBL115665		0	http://qudt.org/vocab/unit#Percent	215713	=	1	1	=		Inhibition	%		58.0	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Inhibition	%	UO_0000187		58.0
		34305	[]	CHEMBL669796	In vitro inhibition of human DNA topoisomerase I activity.	B			BAO_0000201	BAO_0000357	single protein format	COc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(OC)c1			CHEMBL1147454	Bioorg Med Chem Lett	2004		CHEMBL114758		CHEMBL114758		0	http://qudt.org/vocab/unit#Percent	215719	=	1	1	=		Inhibition	%		35.0	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Inhibition	%	UO_0000187		35.0
	Weak activity	35169	[]	CHEMBL660708	Activity to produce DNA topoisomerase I-mediated DNA cleavage at concentration up to 10 uM; +, indicates weak activity	B			BAO_0000375	BAO_0000357	single protein format	COc1cc2c3c(n(C)c(=O)c2cc1OC)-c1cc2c(cc1/C3=C\CCCCl)OCO2			CHEMBL1145853	J Med Chem	2003		CHEMBL331587		CHEMBL331587		0		209790		1	0			Activity				CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Activity				
		36172	[]	CHEMBL659010	The compound was tested for topoisomerase-1 mediated DNA cleavage, activity is expressed as REC(relative effective concentration) i.e., concentration relative to Hoechst 33342.	B			BAO_0000179	BAO_0000357	single protein format	N#Cc1ccc2[nH]c(-c3ccc4[nH]cnc4c3)nc2c1			CHEMBL1128728	J Med Chem	1995		CHEMBL119085		CHEMBL119085		0		229974	=	1	0	=		Relative concentration			1000.0	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Relative concentration				1000.0
		36372	[]	CHEMBL659011	Activity to produce DNA topoisomerase I-mediated DNA cleavage at concentration up to 10 uM	B			BAO_0000375	BAO_0000357	single protein format	COc1cc2c3c(n(C)c(=O)c2cc1OC)-c1cc2c(cc1/C3=C/CCCI)OCO2			CHEMBL1145853	J Med Chem	2003		CHEMBL113069		CHEMBL113069		0		209788	=	1	0	=		Activity			0.0	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Activity				0.0
		36754	[]	CHEMBL669796	In vitro inhibition of human DNA topoisomerase I activity.	B			BAO_0000201	BAO_0000357	single protein format	Cc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(Br)c1			CHEMBL1147454	Bioorg Med Chem Lett	2004		CHEMBL115302		CHEMBL115302		0	http://qudt.org/vocab/unit#Percent	215705	=	1	1	=		Inhibition	%		100.0	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Inhibition	%	UO_0000187		100.0
		36760	[]	CHEMBL669796	In vitro inhibition of human DNA topoisomerase I activity.	B			BAO_0000201	BAO_0000357	single protein format	Cc1ccccc1/N=C1/C(=O)c2cncnc2C(O)=C1Cl			CHEMBL1147454	Bioorg Med Chem Lett	2004		CHEMBL325261		CHEMBL325261		0	http://qudt.org/vocab/unit#Percent	215707	=	1	1	=		Inhibition	%		29.0	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Inhibition	%	UO_0000187		29.0
		38593	[]	CHEMBL659010	The compound was tested for topoisomerase-1 mediated DNA cleavage, activity is expressed as REC(relative effective concentration) i.e., concentration relative to Hoechst 33342.	B			BAO_0000179	BAO_0000357	single protein format	c1cc(-c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc7[nH]cnc7c6)nc5c4)nc3c2)ccn1			CHEMBL1128728	J Med Chem	1995		CHEMBL121371		CHEMBL121371		0		229972	=	1	0	=		Relative concentration			2.0	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Relative concentration				2.0
		39688	[]	CHEMBL659010	The compound was tested for topoisomerase-1 mediated DNA cleavage, activity is expressed as REC(relative effective concentration) i.e., concentration relative to Hoechst 33342.	B			BAO_0000179	BAO_0000357	single protein format	CCOc1ccc(-c2nc3cc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)ccc3[nH]2)cc1			CHEMBL1128728	J Med Chem	1995		CHEMBL343002		CHEMBL343002		0		229966	=	1	0	=		Relative concentration			1.0	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Relative concentration				1.0
		39693	[]	CHEMBL659010	The compound was tested for topoisomerase-1 mediated DNA cleavage, activity is expressed as REC(relative effective concentration) i.e., concentration relative to Hoechst 33342.	B			BAO_0000179	BAO_0000357	single protein format	c1ccc(-c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc7[nH]cnc7c6)nc5c4)nc3c2)nc1			CHEMBL1128728	J Med Chem	1995		CHEMBL420723		CHEMBL420723		0		229971	=	1	0	=		Relative concentration			3.3	CHEMBL1781	Homo sapiens	DNA topoisomerase 1	9606			Relative concentration				3.3
