smiles,qed,scaffold_smiles,source
CC(C)n1c(C(=O)NCc2ccccc2)nc(-c2ccc(F)cc2)c1CCC(O)CC(O)CC(=O)O,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,val
CC(C)c1c(C(=O)NCc2cccc(-c3ccccc3F)c2)nc(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,0.1622265912770942,O=C(NCc1cccc(-c2ccccc2)c1)c1c[nH]c(-c2ccccc2)n1,val
CC(C)c1c(C(=O)NC(CO)c2ccccc2)nc(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,0.22943043908051802,O=C(NCc1ccccc1)c1c[nH]c(-c2ccccc2)n1,val
Cc1cc(C)cc(-c2c(-c3ccc(F)cc3)nc(C(C)C)n2C=CC(O)CC(O)CC(=O)O)c1,0.4051777590798206,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,val
CNc1cccc(-c2nc(C(C)C)n(C=CC(O)CC(O)CC(=O)O)c2-c2ccc(F)cc2)c1,0.3477321497212847,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,val
CC(C)c1c(C(=O)NCc2ccc(-c3ccccc3)cc2)nc(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,0.170122726284258,O=C(NCc1ccc(-c2ccccc2)cc1)c1c[nH]c(-c2ccccc2)n1,train
O=C(O)CC(O)CC(O)C=Cn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1,0.4090872997217439,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,train
CCC(C)(C)C(=O)OC1C(CO)C(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.5756024126748828,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,train
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O,0.4698020340853984,c1ccc(-c2ccncn2)cc1,train
COC(=O)c1ccc(NC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CCC(O)CC(O)CC(=O)O)n2C)cc1,0.1698807956051029,O=C(Nc1ccccc1)c1[nH]cc(-c2ccccc2)c1-c1ccccc1,train
CC(C)c1c(C(=O)N(C)C(C)c2ccccc2)nc(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,0.31777160381257774,O=C(NCc1ccccc1)c1c[nH]c(-c2ccccc2)n1,train
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,0.4347445242149645,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,train
COc1ccc(-c2cc(-c3ccccc3)nc(C(C)C)c2C=CC2CC(O)CC(=O)O2)cc1,0.5003983975184703,O=C1CCCC(C=Cc2cnc(-c3ccccc3)cc2-c2ccccc2)O1,train
Cc1cccc(NC(=O)c2c(-c3ccc(F)cc3)c(-c3ccc(F)cc3)c(CCC(O)CC(O)CC(=O)O)n2C)c1,0.18696194850164205,O=C(Nc1ccccc1)c1[nH]cc(-c2ccccc2)c1-c1ccccc1,train
CC(C)c1c(C(=O)NCc2ccccc2)c2c(n1CCC(O)CC(O)CC(=O)O)CCCCC2,0.3735025436620004,O=C(NCc1ccccc1)c1c[nH]c2c1CCCCC2,train
CC(C)c1cc(-c2ccc(F)cc2)c(OCC2CC(O)CC(=O)O2)c(C(C)C)c1,0.6786322826661113,O=C1CCCC(COc2ccccc2-c2ccccc2)O1,train
Cc1cnc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CCC(O)CC(O)CC(=O)O)n2C)cn1,0.20517681907512603,O=C(NCc1cnccn1)c1[nH]cc(-c2ccccc2)c1-c1ccccc1,train
CCc1c(C(=O)NCc2ccc(-c3ccccc3)cc2)c2c(n1CCC(O)CC(O)CC(=O)O)CCCCC2,0.248206849249634,O=C(NCc1ccc(-c2ccccc2)cc1)c1c[nH]c2c1CCCCC2,train
CN(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,0.45407935441173514,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,train
CCc1c(C(=O)Nc2ccccc2)c(C(C)C)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,0.2673217004972254,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1,train
CCC(C)(C)C(=O)OC1C2C(=CC(C)C1C(C)O)C=CC(C)C2CCC1CC(O)CC(=O)O1,0.551208974828907,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,train
Cc1c(C(=O)Nc2ccccc2)[nH]c(CCC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,0.3179938591669663,O=C(Nc1ccccc1)c1cc(-c2ccccc2)c[nH]1,train
CC(C)c1nc(-c2ccc(F)cc2)c(-c2cc(Cl)cc(Cl)c2)n1C=CC(O)CC(O)CC(=O)O,0.3381727354968359,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,train
CC(C)c1nc(-c2cccc(S(C)(=O)=O)c2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,0.3721259443944282,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,train
CC(C)c1c(C(=O)NC(CO)c2ccccc2)c2c(n1CCC(O)CC(O)CC(=O)O)CCCC2,0.313418565493276,O=C(NCc1ccccc1)c1c[nH]c2c1CCCC2,train
CC(C)c1cc(-c2ccccn2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,0.4559960748515062,c1ccc(-c2[nH]ccc2-c2ccccn2)cc1,train
CCc1cc(-c2c(-c3ccc(F)cc3)nc(C(C)C)n2C=CC(O)CC(O)CC(=O)O)cc(CC)c1F,0.30179528359841595,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,train
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.671999391844661,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,train
CCc1c(C(=O)NC(CO)c2ccc(-c3ccccc3)cc2)c2c(n1CCC(O)CC(O)CC(=O)O)CCCC2,0.2191132612973134,O=C(NCc1ccc(-c2ccccc2)cc1)c1c[nH]c2c1CCCC2,train
Cc1cc(-c2nc(C(C)C)n(C=CC(O)CC(O)CC(=O)O)c2-c2ccc(F)cc2)cc(C)c1Cl,0.34449309134701905,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,train
CCC(C)(C)C(=O)OC1C(O)C(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.6211825621228858,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,train
O=C(O)CC(O)CC(O)CCc1c(Cl)cc(Cl)cc1OCc1ccccc1,0.5463014023954327,c1ccc(COc2ccccc2)cc1,train
CC(C)c1nc(-c2cccnc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,0.46618918574980844,c1ccc(-c2[nH]cnc2-c2cccnc2)cc1,train
Cn1c(CCC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1,0.20035698328747048,O=C(Nc1ccccc1)c1[nH]cc(-c2ccccc2)c1-c1ccccc1,train
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,0.4428452744049379,c1ccc(-c2ccncc2)cc1,train
CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,0.4374883533583451,c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,train
