smiles,warhead_match,lipinski_pass,pains_clean,qed,mw,logp,tanimoto_max_chembl,tanimoto_max_marketed,nearest_marketed_statin
CC(C)c1c(-c2cccc(F)c2)c(-c2ccc(F)cc2)n(C(C)C)c1C=CC(O)CC(O)CC(=O)O,True,True,True,0.3025170881653129,497.58,6.404,0.4875,0.6029,fluvastatin
Cc1c(CCCC(O)CC(=O)O)c(-c2ccc(F)cc2)n(CCC(O)CC(O)CC(=O)O)c1C(C)C,True,True,True,0.2465326554292753,507.6,3.861,0.5352,0.5797,atorvastatin
CC(C)n1c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.4522431005817575,444.48,4.54,0.6316,0.5667,fluvastatin
Cc1c(-c2ccc(F)cc2)c(C(C)C)n(CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,True,True,True,0.4166176136005988,457.52,5.119,0.4844,0.5373,atorvastatin
CC(C)c1c(-c2ccc(F)cc2)c(-c2cccc(F)c2)c(C=CC(O)CC(=O)O)n1C(C)C,False,True,True,0.4011925736723239,453.53,6.653,0.4028,0.5373,fluvastatin
CC(C)c1nc(-c2ccc(F)cc2)c(C=CC(O)CC(O)CC(=O)O)n1-c1cccc(F)c1,True,True,True,0.4394200987936449,456.49,4.541,0.6056,0.5211,fluvastatin
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.4347445242149645,456.49,4.676,1.0,0.507,rosuvastatin
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.4347445242149645,456.49,4.676,1.0,0.507,rosuvastatin
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.4347445242149645,456.49,4.676,1.0,0.507,rosuvastatin
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.4347445242149645,456.49,4.676,1.0,0.507,rosuvastatin
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.4347445242149645,456.49,4.676,1.0,0.507,rosuvastatin
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.4347445242149645,456.49,4.676,1.0,0.507,rosuvastatin
