smiles,warhead_match,lipinski_pass,pains_clean,qed,mw,logp,tanimoto_max_chembl,tanimoto_max_marketed,nearest_marketed_statin
Cc1c(C=CC(O)CC(O)CC(=O)O)nc(-c2ccc(F)cc2)c(C)c1C(C)C,True,True,True,0.61585566398187,401.48,4.228,0.5968,0.5507,rosuvastatin
CC(=O)c1c(F)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,True,True,True,0.3772256874101984,475.46,4.419,0.5143,0.5373,atorvastatin
CC(C)c1nc(-c2ccc(F)cc2)n(C=CC(O)CC(O)CC(=O)O)c1C(C)C,True,True,True,0.587250951221667,404.48,3.993,0.8148,0.5143,rosuvastatin
Cc1ccc(-c2nc(-c3ccc(F)cc3)n(C)c2C=CC(O)CC(O)CC(=O)O)cc1,True,True,True,0.5112399168682075,424.47,3.801,0.6129,0.5,rosuvastatin
CC(c1cccc(-c2nn(C)c(-c3ccc(F)cc3)c2C=CC(O)CC(O)CC(=O)O)c1)S(C)(=O)=O,True,True,True,0.3754077031963767,516.59,3.599,0.55,0.4937,rosuvastatin
CC(C)c1c(-c2ccc(F)cc2)n(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.4564416478409724,444.48,4.405,0.6167,0.4783,fluvastatin
CCc1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccccc2)c(C)n1C(C)C,True,True,True,0.6038757920653585,385.5,4.207,0.4444,0.4776,pitavastatin
CC(C)c1nc(-c2ccc(F)cc2)c(-c2cncc(S(C)(=O)=O)c2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.3716731633686895,517.58,3.335,0.7887,0.4756,rosuvastatin
CC(C)c1c(C(C)c2ccc(F)cc2)nc(S(C)(=O)=O)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.488782026620967,468.55,2.758,0.5909,0.4675,rosuvastatin
CC(C)c1c(C(C)c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.3694638680243643,484.54,5.161,0.7586,0.4667,rosuvastatin
CC(c1ccc(F)cc1)c1nc(-c2ccc(F)cc2)c(O)n1C=CC(O)CC(O)CC(=O)O,True,True,True,0.3882944674469472,458.46,3.743,0.6885,0.4667,rosuvastatin
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CC(O)CC(O)CC(=O)O,True,True,True,0.4596902547100032,444.48,4.205,0.6667,0.4638,atorvastatin
Cc1nc(C(C)C)c(-c2ccc(C(=O)NCc3ccccc3)cc2)n1CCC(O)CC(O)CC(=O)O,True,True,True,0.3034308303316463,493.6,3.889,0.6197,0.4615,atorvastatin
CC(C)c1nc(C(=O)Nc2ccccc2)c(-c2ccc(F)cc2)n1CC(O)CCC(O)C(=O)O,False,True,True,0.3592775329975065,469.51,3.652,0.443,0.4605,atorvastatin
