gene_name,BP,CC,MF
AACS,"['GO:0046951', 'GO:0006631', 'GO:0032024']",['GO:0005829'],"['GO:0030729', 'GO:0005524']"
AARS1,"['GO:0043524', 'GO:0021680', 'GO:0006419', 'GO:0006418', 'GO:0140018', 'GO:0006400', 'GO:0051402', 'GO:0008033', 'GO:0050885', 'GO:1901797', 'GO:0035332']","['GO:0005829', 'GO:0070062', 'GO:0005737', 'GO:0005634', 'GO:0016020']","['GO:0002161', 'GO:0000049', 'GO:0008270', 'GO:0005524', 'GO:0004813', 'GO:0002196', 'GO:0016597', 'GO:0141207']"
AASDH,['GO:0006631'],[],"['GO:0016874', 'GO:0005524']"
ABCA1,"['GO:0009306', 'GO:0033552', 'GO:0043691', 'GO:0042632', 'GO:0033344', 'GO:0071222', 'GO:0055091', 'GO:0060155', 'GO:0023061', 'GO:0071397', 'GO:0071806', 'GO:0071466', 'GO:0007189', 'GO:0034616', 'GO:0090107', 'GO:0042158', 'GO:0007040', 'GO:0090108', 'GO:0045332', 'GO:0010875', 'GO:0033700', 'GO:0008203', 'GO:0010745', 'GO:0034380', 'GO:0006911', 'GO:0140115', 'GO:0032489', 'GO:0007186', 'GO:0071404', 'GO:0016197', 'GO:0010887', 'GO:0032367', 'GO:0071300', 'GO:0071345']","['GO:0045121', 'GO:0005768', 'GO:0097708', 'GO:0016323', 'GO:0005789', 'GO:0005794', 'GO:0030139', 'GO:0005886', 'GO:0048471', 'GO:0045335', 'GO:0009897']","['GO:0005524', 'GO:0019905', 'GO:0008320', 'GO:0120020', 'GO:0034188', 'GO:0034186', 'GO:0008035', 'GO:0005102', 'GO:0042626', 'GO:0034185', 'GO:0015485', 'GO:0046623', 'GO:0016887', 'GO:0140359', 'GO:0140328', 'GO:0031210', 'GO:0051117', 'GO:0031267', 'GO:0090554', 'GO:0090556']"
ABCB1,"['GO:0006805', 'GO:0071475', 'GO:1902396', 'GO:0050892', 'GO:0001666', 'GO:0140115', 'GO:1904478', 'GO:0071222', 'GO:0007595', 'GO:0046686', 'GO:0032570', 'GO:0009410', 'GO:0045332', 'GO:0033189', 'GO:0071217', 'GO:1990963', 'GO:0009914', 'GO:0046865', 'GO:0033762', 'GO:0055085', 'GO:1905039', 'GO:0071356', 'GO:1990961', 'GO:1905232', 'GO:0007623', 'GO:0035633', 'GO:1903416', 'GO:0070633', 'GO:0036146', 'GO:1905235', 'GO:0071392', 'GO:0060856', 'GO:0072089', 'GO:0150104', 'GO:0001890', 'GO:0071549', 'GO:0000086', 'GO:1904057', 'GO:0007565', 'GO:0097327', 'GO:0033280', 'GO:0097068', 'GO:0099040', 'GO:1990962', 'GO:0097305', 'GO:2001225', 'GO:0071312', 'GO:0071236']","['GO:0005886', 'GO:0070062', 'GO:0098591', 'GO:0016324', 'GO:0016020', 'GO:0031526', 'GO:0009986', 'GO:0005737']","['GO:0015562', 'GO:0099038', 'GO:0005524', 'GO:0016887', 'GO:0140341', 'GO:0008559', 'GO:0046943', 'GO:0022857', 'GO:0031625', 'GO:0090555', 'GO:0042626', 'GO:0042910', 'GO:0140328', 'GO:0090554']"
ABCB11,"['GO:0042632', 'GO:0055091', 'GO:0055085', 'GO:0006631', 'GO:0006855', 'GO:0031998', 'GO:0006805', 'GO:0016567', 'GO:0046618', 'GO:0015722', 'GO:0008206', 'GO:0015721', 'GO:0120189', 'GO:0006699', 'GO:0055088']","['GO:0046691', 'GO:0005768', 'GO:0009986', 'GO:0070062', 'GO:0016324', 'GO:0046581', 'GO:0005886', 'GO:0055038', 'GO:0055037']","['GO:0005524', 'GO:0015432', 'GO:0008559', 'GO:0015126', 'GO:0016887', 'GO:0015125']"
ABCB4,"['GO:0032376', 'GO:0055085', 'GO:0061092', 'GO:0032782', 'GO:1903413', 'GO:0045332', 'GO:1901557', 'GO:0006629', 'GO:2001140', 'GO:0055088']","['GO:0045121', 'GO:0005829', 'GO:0070062', 'GO:0005737', 'GO:0030136', 'GO:0016324', 'GO:0046581', 'GO:0005886', 'GO:0016020', 'GO:0005654', 'GO:0005925']","['GO:0005524', 'GO:0042626', 'GO:0016887', 'GO:0140359', 'GO:0090554']"
ABCC2,"['GO:0150104', 'GO:0060416', 'GO:0042167', 'GO:0071716', 'GO:0015723', 'GO:0055085', 'GO:0006855', 'GO:0006749', 'GO:0015694', 'GO:0006805', 'GO:0072014', 'GO:0010467', 'GO:1990961', 'GO:0016071', 'GO:0010629', 'GO:1901652', 'GO:1904567', 'GO:0055007', 'GO:0046618', 'GO:0015721', 'GO:1990962', 'GO:0043491', 'GO:0015779', 'GO:0034635', 'GO:0032868', 'GO:0070633', 'GO:0072718']","['GO:0009986', 'GO:0031982', 'GO:0016324', 'GO:0046581', 'GO:0005886']","['GO:0005524', 'GO:0008559', 'GO:0015431', 'GO:0042626', 'GO:0042910', 'GO:0016887', 'GO:0140359', 'GO:0019534', 'GO:0015127']"
ABCG1,"['GO:0043691', 'GO:0042632', 'GO:0042987', 'GO:0034375', 'GO:0033344', 'GO:0055091', 'GO:0055085', 'GO:0033993', 'GO:0090181', 'GO:1990961', 'GO:0034436', 'GO:0050714', 'GO:0010875', 'GO:0033700', 'GO:0008203', 'GO:0010745', 'GO:0071403', 'GO:1902004', 'GO:0034374', 'GO:0045542', 'GO:0010887', 'GO:0032367']","['GO:0005768', 'GO:0005739', 'GO:0005789', 'GO:0005794', 'GO:0000139', 'GO:0005886', 'GO:0005654', 'GO:0009897', 'GO:0055037']","['GO:0046982', 'GO:0005524', 'GO:0120020', 'GO:0042803', 'GO:0043531', 'GO:0015485', 'GO:0016887', 'GO:0034041', 'GO:0140328', 'GO:0019534', 'GO:0090554', 'GO:0005543']"
ABCG2,"['GO:0015878', 'GO:0150104', 'GO:0097744', 'GO:0032218', 'GO:0055085', 'GO:0046415', 'GO:0015711', 'GO:1990962', 'GO:0030148', 'GO:0140115', 'GO:0070633', 'GO:1990748']","['GO:0045121', 'GO:0098591', 'GO:0016324', 'GO:0005886', 'GO:0031526', 'GO:0005654', 'GO:0031966']","['GO:0015143', 'GO:0015562', 'GO:0005524', 'GO:0008559', 'GO:0042803', 'GO:0042626', 'GO:0046624', 'GO:0042910', 'GO:0032217', 'GO:0016887', 'GO:0042802', 'GO:0015225']"
